"medcode","readcode","Description","CodingSystem"
1754,"J614.00","Chronic hepatitis","readcode"
2834,"A705000","Viral hepatitis C without mention of hepatic coma","readcode"
2860,"A703.00","Viral (serum) hepatitis B","readcode"
6800,"65Q7.00","Viral hepatitis carrier","readcode"
7602,"J617000","Chronic alcoholic hepatitis","readcode"
7943,"J617.00","Alcoholic hepatitis","readcode"
7957,"J614111","Autoimmune chronic active hepatitis","readcode"
9029,"J614100","Chronic active hepatitis","readcode"
10539,"J61z.00","Chronic liver disease NOS","readcode"
11431,"ZV02B00","[V]Hepatitis B carrier","readcode"
15489,"J614z00","Chronic hepatitis NOS","readcode"
16766,"ZV02600","[V]Viral hepatitis carrier","readcode"
18652,"J63B.00","Autoimmune hepatitis","readcode"
21713,"J612000","Alcoholic fibrosis and sclerosis of liver","readcode"
23578,"J614000","Chronic persistent hepatitis","readcode"
24813,"A707000","Chronic viral hepatitis B with delta-agent","readcode"
25383,"J61y400","Hepatic fibrosis","readcode"
25589,"C376100","Alpha-1-antitrypsin hepatitis","readcode"
26037,"C32y511","Hepatic familial steatosis","readcode"
26367,"A707.00","Chronic viral hepatitis","readcode"
27663,"J63X.00","Granulomatous hepatitis, not elsewhere classified","readcode"
28703,"ZV02C00","[V]Hepatitis C carrier","readcode"
28798,"J63y100","Nonspecific reactive hepatitis","readcode"
30586,"A707200","Chronic viral hepatitis C","readcode"
30729,"141E.00","History of hepatitis B","readcode"
31008,"J630.00","Chronic passive liver congestion","readcode"
32277,"A707X00","Chronic viral hepatitis, unspecified","readcode"
33597,"J61yz00","Other non-alcoholic chronic liver disease NOS","readcode"
34642,"Q48yz11","Congenital hepatic fibrosis","readcode"
40963,"J61y300","Portal fibrosis without cirrhosis","readcode"
41096,"A707100","Chronic viral hepatitis B without delta-agent","readcode"
41237,"J631.00","Hepatitis in viral diseases EC","readcode"
42843,"J61y.00","Other non-alcoholic chronic liver disease","readcode"
50245,"Q409100","Congenital hepatitis B infection","readcode"
53480,"J614300","Recurrent hepatitis","readcode"
53704,"J600200","Acute yellow atrophy","readcode"
53877,"J614y00","Chronic hepatitis unspecified","readcode"
60104,"J61y500","Hepatic sclerosis","readcode"
66534,"J614400","Chronic lobular hepatitis","readcode"
69313,"J601200","Subacute yellow atrophy","readcode"
71453,"J615z15","Hepatic fibrosis","readcode"
96085,"9kV..00","Hepatitis C screening positive - enhanced services admin","readcode"
98148,"J61y800","Nonalcoholic steatohepatitis","readcode"
99898,"9kR..00","Chronic hepatitis annual review - enhanced services admin","readcode"
100592,"J61y600","Hepatic fibrosis with hepatic sclerosis","readcode"
104572,"9NgR.00","On hepatitis C treatment plan","readcode"
