CTV3Code,Description
G300.00,Acute anterolateral myocardial infarction
G301.00,Other specified anterior myocardial infarction
G301000,Acute anteroapical infarction
G301100,Acute anteroseptal myocardial infarction
G301z00,Anterior myocardial infarction NOS
G302.00,Acute inferolateral myocardial infarction
G303.00,Acute inferoposterior infarction
G304.00,Posterior myocardial infarction NOS
G305.00,Lateral myocardial infarction NOS
G306.00,True posterior myocardial infarction
G307.00,Acute subendocardial infarction
G308.00,Inferior myocardial infarction NOS
G30y.00,Other acute myocardial infarction
G30y000,Acute atrial infarction
G30y100,Acute papillary muscle infarction
G30y200,Acute septal infarction
G30yz00,Other acute myocardial infarction NOS
G30z.00,Acute myocardial infarction NOS
G35..00,Subsequent myocardial infarction
G350.00,Subsequent myocardial infarction of anterior wall
G351.00,Subsequent myocardial infarction of inferior wall
G353.00,Subsequent myocardial infarction of other sites
Gyu3400,[X]Acute transmural myocardial infarction of unspecif site
Gyu3500,[X]Subsequent myocardial infarction of other sites
Gyu3600,[X]Subsequent myocardial infarction of unspecified site
G30..00,Acute myocardial infarction
G30..17,Silent myocardial infarction
G30..14,Heart attack
G30..15,MI - Acute myocardial infarction
G30..11,Attack - heart
X200E,Myocardial infarction
X200G,Acute Q wave infarction - anteroseptal
X200H,Acute non-Q wave infarction - anteroseptal
X200I,Acute Q wave infarction - anterolateral
X200J,Acute non-Q wave infarction - anterolateral
X200K,Acute inferior myocardial infarction
X200L,Acute Q wave infarction - inferior
X200M,Acute non-Q wave infarction - inferior
X200N,Acute Q wave infarction - inferolateral
X200O,Acute non-Q wave infarction - inferolateral
X200P,Acute lateral myocardial infarction
X200Q,Acute Q wave infarction - lateral
X200R,Acute non-Q wave infarction - lateral
X200S,Acute widespread myocardial infarction
X200T,Acute Q wave infarction - widespread
X200U,Acute non-Q wave infarction - widespread
X200V,Acute posterior myocardial infarction
X200a,Silent myocardial infarction
XE0Uh,Acute myocardial infarction
Xa0YL,Acute anterior myocardial infarction
XaAC3,Acute Q wave myocardial infarction
XaAzi,Acute non-Q wave infarction
XaD2b,Postoperative myocardial infarction
XaD2d,Postoperative transmural myocardial infarction anterior wall
XaD2e,Postoperative transmural myocardial infarction inferior wall
XaD2f,Postoperative transmural myocardial infarction other sites
XaD2g,Postoperative transmural myocardial infarction unspec site
XaD2h,Postoperative subendocardial myocardial infarction
XaD2i,"Postoperative myocardial infarction, unspecified"
XaEgZ,Non-Q wave myocardial infarction
XaIf1,First myocardial infarction
XaIwM,Acute ST segment elevation myocardial infarction
XaIwY,Acute non-ST segment elevation myocardial infarction
XaJX0,Acute posterolateral myocardial infarction
