medcode,readcode,desc,fev1,fev1_predicted,fev1_percent_pred,fvc,fvc_predicted,fvc_percent_pred,fev1_fvc_ratio,fev1_fvc_ratio_predicted,fev1_fvc_ratio_percent_pred,generalspirometry,bronchdil
102855,"9NiV.00","did not attend spirometry clinic",,,,,,,,,,1,"Unspecified"
14454,"339P.00","expected fev1",,1,,,,,,,,,"Unspecified"
23284,"339N.00","expected fev1/fvc ratio",,,,,,,,1,,,"Unspecified"
19864,"339Q.00","expected fvc",,,,,1,,,,,,"Unspecified"
19830,"339b.00","fev1 after bronchodilation",1,,,,,,,,,,"Post-bronchodilator"
107044,"3397200","fev1 after change of bronchodilator",1,,,,,,,,,,"Post-bronchodilator"
23237,"339a.00","fev1 before bronchodilation",1,,,,,,,,,,"Pre-bronchodilator"
43041,"339f.00","fev1 post steroids",1,,,,,,,,,,"Post-bronchodilator"
43040,"339e.00","fev1 pre steroids",1,,,,,,,,,,"Pre-bronchodilator"
25083,"339U.00","fev1/fvc < 70% of predicted",,,,,,,1,,,,"Unspecified"
11078,"339T.00","fev1/fvc > 70% of predicted",,,,,,,1,,,,"Unspecified"
8512,"339R.00","fev1/fvc percent",,,,,,,1,,,,"Unspecified"
14456,"339M.00","fev1/fvc ratio",,,,,,,1,,,,"Unspecified"
23285,"3399.00","fev1/fvc ratio abnormal",,,,,,,1,,,,"Unspecified"
19832,"339m.00","fev1/fvc ratio after bronchodilator",,,,,,,1,,,,"Post-bronchodilator"
27141,"339l.00","fev1/fvc ratio before bronchodilator",,,,,,,1,,,,"Pre-bronchodilator"
14455,"3398.00","fev1/fvc ratio normal",,,,,,,1,,,,"Unspecified"
58633,"339k.00","fev1/fvc ratio post steroids",,,,,,,1,,,,"Post-bronchodilator"
58632,"339j.00","fev1/fvc ratio pre steroids",,,,,,,1,,,,"Pre-bronchodilator"
88887,"339r.00","fev1/vc percent",,,,,,,,,,1,"Unspecified"
26186,"339q.00","forced expiratory flow rate between 25+75% of vital capacity",,,,,,,,,,1,"Unspecified"
14453,"3397.00","forced expiratory volume - fev",1,,,,,,,,,,"Unspecified"
10320,"339O.00","forced expired volume in 1 second",1,,,,,,,,,,"Unspecified"
100391,"3397100","forced expired volume in 1 second percentage change",,,,,,,,,,1,"Unspecified"
99777,"339O000","forced expired volume in 1 second reversibility",1,,,,,,,,,,"Post-bronchodilator"
102575,"339O100","forced expired volume in one second/vital capacity ratio",,,,,,,,,,1,"Unspecified"
10873,"3396.00","forced vital capacity - fvc",,,,1,,,,,,,"Unspecified"
97571,"339s.00","forced vital capacity before bronchodilation",,,,1,,,,,,,"Pre-bronchodilator"
23287,"3396100","fvc - forced vital capacity abnormal",,,,1,,,,,,,"Unspecified"
23286,"3396000","fvc - forced vital capacity normal",,,,1,,,,,,,"Unspecified"
19831,"339h.00","fvc after bronchodilation",,,,1,,,,,,,"Post-bronchodilator"
106767,"3396300","fvc after change of bronchodilator",,,,1,,,,,,,"Post-bronchodilator"
106698,"339h000","fvc post bronchodilator percentage change",,,,,,,,,,1,"Post-bronchodilator"
14457,"339i.00","fvc/expected fvc percent",,,,,,1,,,,,"Unspecified"
6091,"339S.00","percent predicted fev1",,,1,,,,,,,,"Unspecified"
99824,"3396200","percentage of predicted forced vital capacity",,,,,,1,,,,,"Unspecified"
108166,"339h100","percentage of predicted fvc after bronchodilation",,,,,,1,,,,,"Post-bronchodilator"
101079,"339S000","percentage predicted fev1 after bronchodilation",,,1,,,,,,,,"Post-bronchodilator"
102522,"745D400","post bronchodilator spirometry",,,,,,,,,,1,"Post-bronchodilator"
13683,"8HRC.00","referral for spirometry",,,,,,,,,,1,"Unspecified"
103593,"66Yt.00","spirometric lung age",,,,,,,,,,1,"Unspecified"
6118,"5882.00","spirometry",,,,,,,,,,1,"Unspecified"
29015,"745C100","spirometry",,,,,,,,,,1,"Unspecified"
101053,"8I2j.00","spirometry contraindicated",,,,,,,,,,1,"Unspecified"
26241,"8BR0.00","spirometry indicated",,,,,,,,,,1,"Unspecified"
10336,"33G..00","spirometry reversibility",,,,,,,,,,1,"Unspecified"
10420,"33G0.00","spirometry reversibility negative",,,,,,,,,,1,"Unspecified"
10492,"33G1.00","spirometry reversibility positive",,,,,,,,,,1,"Unspecified"
108657,"9mV..00","spirometry reversibility test invitation",,,,,,,,,,1,"Unspecified"
30674,"8I2M.00","spirometry reversibility testing contraindicated",,,,,,,,,,1,"Unspecified"
89207,"8I6d.00","spirometry reversibility testing not indicated",,,,,,,,,,1,"Unspecified"
10337,"68M..00","spirometry screening",,,,,,,,,,1,"Unspecified"
108380,"9mQ..00","spirometry screening invitation",,,,,,,,,,1,"Unspecified"
103541,"3372000","unable to perform spirometry",,,,,,,,,,1,"Unspecified"
